id;language;status;title;description;min_price;max_price
1;GREEK;DONE;Danish Krone;upward-trending connect;50210;44495
2;GREEK;INIT;Pike integrate synergize;Legacy Rial Omani;47723;55341
3;ENGLISH;DONE;Jewelery;Cotton overriding Pound Sterling;95082;28808
4;ENGLISH;WORK;Gorgeous Regional;Brand;45796;68369
5;GREEK;WORK;Plains;application Uganda Shilling Algeria;17360;87462
6;GREEK;WORK;Garden;Libyan Dinar Internal;63016;78163
7;GREEK;WORK;initiatives methodical Executive;Granite GB primary;8984;95105
8;ENGLISH;WORK;Clothing;mobile tertiary;14956;19737
9;GREEK;CANCEL;Assistant Denar;Belarus solid state;42018;38696
10;GREEK;WORK;Tasty;bandwidth North Carolina virtual;56861;1937
